Review_Text,Sentiment,tf_cluster
good hotel heart citi offer good valu money book time travel chennai staff courteou everyth make stay awesom restaur option also mani spoilt choic also loung terrac offer great view citi,2,0
pleasant stay staff friendli rent cab charg lot regular servic provid,2,0
servic good also provid free wi fi internet connect breakfast ok need improv,2,2
close shop nice restaur good breakfast,2,1
excel staff friendli help howev timetaken resond poor breakfast menu could better daili toiletri towel replenish insuffici over stay pleasant,2,0
facil nice valu fantast servic profession cleanli pleasant three restaur insid hotel plenti varieti,2,0
perhap make chennai almost sold stay durat ask k without even basic facil like complementari bottl water wow,1,2
stay wife januari happi experi,2,0
front offic staff welcom help everi turn overal comfort stay room small adequ singl person,2,0
nice comfort ideal activ,2,0
physic facil quit nice larg clean room comfort lobbi littl thing detract safe malfunct day left wifi bandwidth overli max even make email imposs fit room joke,1,2
locat perfect,2,2
good,2,1
check took min pillow room differ size dirti stain curtain phone next bed walk studi tabl slow room servic poor understand intern book work accept discov card,0,2
room clean well maintain breakfast extraordinari,2,2
stay park pleasant one front desk staff friendli help warm arrang even cradl month old babi room well maintain complimentari breakfast wide spread overal experi pleasant one,2,0
properti bit old bath tub toilet old stain white towel provid even stain dirti,0,2
hotel room quit old maintain chair cushion torn shower curtain window curtain even phone musti smell wait recept long breakfast decent locat good u visa applic,0,2
wifi need improv,2,2
place probabl better busi travel definit cramp famili bathroom small felt like plane toilet locat outstand though access almost everyth mainland chennai,1,2
good lobbi good place eat everyth els come way near star hotel claim room star hotel level disappoint thank book day,0,2
need improv cleannessne improv custom carenessemploye restur care enough custom,1,2
need maintainc smell room breakfast good,1,2
soon enter room first thought touch anyth dirti room wors cheap motel room want get close bed definit hotel mention expedia close u consul room bad would rather travel minut stay,0,2
hotel well locat central chennai easi find place go evn work shop two big mall nearbi nice pool th floor sever bar hotel,2,0
nobodi attend phone room old small small outdat tv,0,2
locat room facil good lot improv servic level especi time check checkout staff recept counter possibl train well much attrit train staff wait checkin checkout long accept star categori hotel,2,2
great locat hotel worth price charg terribl room layout staff slow train properli guest servic pick phone call time pick spent lot time handl request put reserv time book,0,2
hotel night club dj good good place parti goer yyy,2,2
cleanli restroom corridor pathway could better hot water morn time hot water problem day stay coupl light work,2,2
room spaciou mainten bad crack wall water seepag hotel manag need spruce valu money locat great though central locat heart citi,2,2
accommod check arriv time good wait hour reach hotel get room though book month advanc locat good hotel staff help,2,1
hotel perfect locat near u consul hotel beauti well maintain fill mostli peopl came visa interview staff also help cooper,2,0
pro central locat close u embassi food hotel good friendli staff decent gym swim pool con poor room worn floor prize long wait check,1,2
enjoy stay pleasant servic stay includ buffet breakfast excel locat close u consul big advantag lot eat option within mile radiu recommend luxuri room,2,0
need inspir check review park chennai written travel like read tip write great review need inspir,2,2
made book guest guest allow stay spite book payment made onlin guest made wait lobbi nearli hour final gave id proof accommod yet accept find altern solut hotel custom friendli hotel,1,2
nice stay park hotel well equip clean happi stay futur right locat u stay hotel recept staff servic team polit profession use much facil avail next time tri use,2,0
room renov also leak water seepag wall bad mainten hotel good pub mattress soft get back pain high time replac mattress renov must stage alway hot water problem tap leaki health faucet must toilet,2,2
overal good place stay food good room clean enough space best place visa interview place right opposit case forgot someth visa get quickli room,2,0
except heart citi hotel noth boast food tast aw much almost ate pickl side dish breakfast room poorli lit enough make morn dull room unkempt fall apart,0,2
hotel room repair bathroom wall repaint outsid window clean bird made dirti insid room clean well maintain ac servic good,2,2
bathroom dirti room dirti bedsheet chang posit thing buffet breakfast,0,2
hotel staff co ordin well room servic bill payment,0,2
sure someon want spend kind money disappoint,0,2
ideal hotel stay clean friendli good wholesom food excel valu money discern custom staff pleasant help area recept dine housekeep concierg servic tri return,2,0
good,2,1
dinner buffet pricey food amaz downsid stay discolor water bathroom sink,1,2
great servic clean room nice ambianc stay famili good time would recommend busi stay also famili,2,0
great staff good locat good food cleanli need get improv everi thing els good,2,1
excel experi clean room friendli courteou staff good restaur hotel nice food,2,0
help staff realli taken care thing need,2,0
room servic poor servic took time also tray clear dissapoint locat hotel good buffet dinner breakfast good noth say noth say noth say noth say,2,2
great food expens good tax high hotel car airport plu tax expens could probabl gotten taxi great place excel servic,2,0
excel hotel great staff would greatli recommend,2,0
hotel room great staff help locat anna salai forget take walk get nearbi place add on like lunch dinner buffet cost much expect one thing like presenc mani staff vanakkam perform front door need everi time come smile would enough hotel complaint,2,0
second visit enjoy stay much definit stay raintre chennai next,2,0
hotel locat good bed bad old shower room clean,1,2
good experi attent staff good locat,2,1
facil top line valu fantast servic outstand cleanli immacul perfect base visitor chennai back,2,2
servic could improv lot time taken room servic,2,2
appreci staff servic bathroom tap dustbin clean wc ventil room window perman close need attent pleas check make right realli adjust,1,2
good servic fairli comfort stay,2,1
room need make kettl old good condit upto lemon tree standard,1,2
good hotel room far airport min help staff restaur mayb overpr bad bed comfort clean free wifi realli good overal quit satisfi,2,1
date router outsid front room back poor internet food sub standard age heavi usag take toll need major renov keep u chain,0,2
ask non smoke room get one ac work otherwis good locat clean bed towel,1,2
excel term hygien cleanli enjoy stay howev food price compar higher side co oper staff best class would like stay thank leman tree staff,2,0
hotel good food cost high,2,1
hotel staff friendli help room well maintain clean hotel close airport henc easi access breakfast lunch dinner qualiti good,2,0
good enjoy stay good food neat good room servic locat hotel also good near airport railway station compani sure visit hotel good famili stay,2,1
compar lemon tree stay bit disappoint compar room comfort,2,2
poor servic poor air condit poor servic poor condit,2,2
size bed small singl person uncomfort sleep sell bed doubl occup difficult imagin two person fit bed washroom small one bare move around breakfast truli free complimentari food absolut tast total wast money uncomfort night,1,2
room allot small singl bed room buffet dinner spread upto mark qualiti food upto mark breakfast qualiti need improv spread fruit like need improv moreov cost buffet dinner match qualiti spread,2,2
room size small big see photo servic good overal qualiti food bar restaur great could improv qualiti food also even reduc rate,2,2
doubt hotel locat quiet prime locat busi travel think valu money given room size staff pleasant deal food varieti also averag facil like spa busi travel also wish relax long day,2,2
overal experi good hotel hotel locat near airport behaviour hotel staff good hotel food drink avail hotel good activ avail hotel wi fi servic avail hotel,2,1
everyth need place need call servic food qualiti also equal good locat also conveni air well rail recept staff also cooper,2,2
clean valu money prompt servic beauti aroma problem view compris abl buffet dinner asko good even provid take away breakfast morn,2,2
cleanli hospit excel complimentari breakfast good room facil mark internet slow stay singl room would sure accommod famili worth money paid would sure recommend short stay,2,0
first thing costli small room satisfi time schedul type feedback format somewhat good u sorri late repli,2,2
actual star hotel india star four star rate expedia mislead hotel clean star hotel ok expect price way high level qualiti move hilton satisfi,1,2
nice experi peopl think worker shout outsid room door disturb,2,2
box tick busi travel clean room clean toilet decent break fast spread,2,2
nice stay good servic especi person name mr dinesh recept assist lot good person hotel assist till period vacat good person,2,1
realli enjoy pool food well well clean definit recommend one,2,0
stay somewher els hotel right flight path airport adjac main road lorri driver use horn brake,1,2
stay park hyatt week primarili attend famili wed held hotel servic first class unfortun area locat good rooftop pool pleasant food drink hotel expens bar area open pm noisi disco type music full volum nowher sit quiet drink,2,2
staff help help avoid channai pitfal support lost translat,2,0
move hotel terribl night anoth hotel amaz servic top notch decor especi garment industri stun food great say enough good thing,2,2
quick effici friendli check overal great hotel chennai stay,2,0
noth complain,2,2
good let guest eas next time would appreci good let guest eas next time would appreci,2,2
first time stay love everyon super polit help nice one need check final bill error,2,0
pleasant stay excel experi great ambienc courteou staff hotel cater custom need round clock room good ensur stay futur recommend friend keep good work thank hyatt certainli good valu money kudo,2,0
overal ambienc hotel good room facil need improv need provid servic per custom book peopl room provid person facil wherea charg remain peopl,2,2
park hyatt realli live hype best part hotel bathroom roof top swim pool give great view chennai flagship pub fli eleph realli happen weekend stay guess get free entri one excit pub servic ambienc hotel top notch unparallel,2,0
experi hotel nice transport facil provid hotel activ avail hotel would recommend hotel upcom travel,2,1
good servic clean great food nice gym le price would help pocket,2,0
good,2,1
good hotel modern look excel servic staff quit friendli food good staff feel happi assist almost anyth everybodi treat guest like someon special room quit spaciou clean equip amen need,2,0
visit hotel famili food qualiti good servic hotel nice check checkout time complimentari food provid hotel restaur avail hotel varieti food provid hotel suggest hotel would recommend hotel travel,2,1
nice place good staff feel qualiti money food also good littl far citi feel hous keep also good,2,1
soon check found pungent smell room even inform custom servic desk took quit long time alloc new room multipl follow up moreov food serv room good look prepar chef,1,2
great ambienc good staff wonder food big room access airport nice locat reason price mine short comfort stay overal star stay recommend futur stay chennai,2,0
stay xma new year night wonder hotel locat absolut brilliant yard town squar lucki get free room grade one superb loft convers two level room four poster bed nice staff help breakfast good,2,2
bright sunday famili decid check park hyatt guindi expect experi cherish gave absolut delight star hotel food qualiti splendid servic also upto mark five star hotel sum made crisp experi sunday morn,2,2
busi centr one expect hotel star busi centr,2,2
excel valu qualiti servic go wrong breakfast top notch indian continent option decor subdu stylish good busi pleasur gym modern equip infin pool problem free wifi better deal leela palac famili happi thought hotel target,2,2
excel room exercis facil around atmospher calm comfort main dine room offer excel food servic avoid fli eleph restaur stick main dine room,2,2
comfort need bkhkhjuoipoioioi hkhghkhkhkjh ghjggjhghggg,2,2
outsid look feel good reason good restaur,1,1
clean great servic,2,0
nice hotel good locat howev sad part hour check check polici applic book made hotel com said valid book directli hotel,2,2
major staff recept din hall excel welcom,2,0
good,2,1
saw much better upkeep facil two year back,1,2
confirm book per record wait minut,1,2
room clean intern standard option turn ceil light prefer brighter otherwis warm cosi toilet small funtion water pressur good th floor room,2,2
great experi stay check check process smooth easi decent food option avail hotel staff respons quick request roof top restaur view citi one miss,2,0
recept arriv restaur excel check check formal handl effici room big size ambienc excel food qualiti restaur good servic repres restaur took care nice special appreci locat hotel surround ambienc pleasant,2,0
decent hotel buffet expect better lunch breakfast money,2,2
realli enjoy buffet food wide varieti,2,0
excel,2,0
good experi wonder time servic excel provid best servic thank wonder experi keep good work maintain hotel,2,1
hr check best part hotel servic great staff help friendli food good excel locat alway enjoy stay howev gym improv space need equip requir major upgrad,2,0
good hotel nice locat staff support took great care pub nice ambienc awesom would strongli suggest hotel busi travel situat heart citi main market area,2,0
great locat close citi center market staff help servic great special request help u enjoy stay would recommend other,2,0
definit stay hotel next visit chennai good ambienc shop centr nearbi facil excel staff also good support,2,1
extrem great ambienc room good like experi buffet costli howev food good swim pool great gym facil good enjoy play pool cleanli pool appreci overal rate,2,0
nice hotel good ambienc nice recept overal design locat design feel good spaciou peopl soft gentl skill serv kind guest includ foreign,2,1
hotel recept staff bad even servic hotel order fish fri got bad smell realli total damag one breakfast also mark,0,2
home safe environ breakfast excel check check simpl call ask late check check honour hotel central locat heart shop centr hotel safe travel singl,2,2
central locat great food room reason price hotel one good pub though food qualiti ok littl disappoint food southern aroma favourit restaur overal experi great,2,0
complimentari breakfast given hotel hotel good delay check checkout hotel satisfi hotel stay use activ hotel,1,1
friendli help staff nice food clean room realli enjoy stay stay hotel time go,2,0
excel hotel great valu money great staff stay night henc initi offer complimentari breakfast day check third day breakfast hour henc graciou enough offer free breakfast famili run u free,2,0
pictur servic match,0,2
nice stay first night arriv india,1,0
place neat room adequ amen bedsheet clean wifi connect good place walkabl distanc nagar shop area buffet breakfast restaur downstair realli good serv wide varieti staff friendli help assist u whenev need overal happi stay,2,0
nice comfort stay heart citi also afford compar other nearbi,2,0
stay offici purpos locat main citi easi locat room appear need improv room sapc good cleanli maintain overal experi servic need improv,2,2
stay busi visit first thing locat apart heart citi nagar easi book procedur thing morn complimentari breakfast qualiti enough improv overal nice stay,2,0
good stay welcom good mainten comfort breakfast ad hot drink peopl good cleanli maintain servic call good fill water bottl comfort zone like game ad environ like place see room alon would comfort stay would realli memor,1,1
good hotel visit offici purpos servic averag room size got small congest may room big sure econom hotel good stay famili le averag charg food averag get complimentari breakfast bad otherwis hotel good,1,1
stay day th st march nestl compani meet servic good room attach big hall seen hotel realli differ famili stay feel like home need improv food qualiti quantiti overal experi good,2,1
hotel locat strateg place thing nearbi one would face challeng big hotel howev staff cooper manag food outsid mostli overal good locat averag experi,1,1
busi trip two day nice hotel locat good close u consul close market place railway station airport neat clean nice food nice restaur friendli staff qualiti servic enjoy stay,2,0
blossom servic apart fulli furnish apart chennai serf excel amen great custom care servic apart boon econom viabl altern hotel room space conveni factor great privaci level especi famili member child,0,0
locat good near nagar best market area pass leisur time stroll market breakfast free restaur ground floor person recept well behav sober,2,2
hotel best stay india far issu annoy control panel certain item room air condition hot water heater cold shower hot night,2,2
feel good nice place travel next time want book hotel hotel staff nice co oper,2,1
iam frequent travel india long time stay v good hotel st time give star hotel india clean room toilet bed excel staff thank continu good,2,2
overal good stay facil room good peopl cooper facil mention time book said provid room clean breakfast room servic good,2,1
good ambianc clean room staff cooper except locat meter away main road superb servic tri food better option avail near problem locat otherwis valu money,2,2
hotel decent good enough night famili friend overal simpli good md good staff also good locat bit crowd narrow road cannot park vehicl outsid gate entranc park vehicl insid park place also near mall restaur,2,1
good enough valu money near marina beach servic good food okay,2,1
hotel peac park inn good hotel stay famili locat good hotel room servic good hotel recept good food averag like hotel,2,1
averag hotel locat per address given difficult track hotel addr,1,2
cramp access road impropp inform phone,0,2
brother admiss hotel clean room good bigger ac work well great valu money food awesom room servic also good check checkout done without delay thank staff much cooper whatev pictur hotel room websit get thing real,2,1
visit busi tour nice experi room could bigger anyway room clean neat locat hotel quit difficult find food also good park place quit safe budget friendli hotel hope visit,2,1
spent two night hotel septemb room clean tidi clean bathroom aircon work staff hotel help driver arrang day trip excel nice cool clean come back tramp around street chennai,1,0
arriv late night thailand look forward drink bar told muslim hotel alcohol strictli forbidden disappoint clean good staff good valu probabl hotel mani western stay good locat,2,1
never came across issu hotel simpli best,2,2
stay day say impress local good room pretti neat admit hotel provid wi fi facil custom connect time recept custom realli great even gave u rebat inr pretti close airport good choic anyon,2,2
hotel mid citi locat near marina beach conjunct space front hotel food good north indian peopl staff good room servic ok hotel good middl class peopl space park,1,1
stay u visa appoint best choic think made apart shabbi way everyth els perfect littl insid close u consul offic marina beach hotel staff good help overal four five,2,0
nice clean though neighbourhood seem somewhat dodgi near beach main street awesom ananda bhawan restaur min walk away,2,2
okay stay one day approach good hotel doesnt matter,1,2
ok bad,1,2
visit chennai summer hotel nice high speed fan c useabl bathroom room clean consid price locat pleasant stay rooftop restaur provid kind servic tasti food mosquito suggest use repel anywher go,2,0
breakfast spread good staff good help comfort stay,2,1
hotel averag good servic room look bit worn old fashion mani place relax coffe shop comfort food ok special level hotel,2,2
excel food hotel plu reason price staff friendli,2,0
excel food especi breakfast buffet support arrang local transport,2,0
travel colleagu itali found averag staff good like hotel seem old hotel lot mosquito room old furnitur old ihom system compat current iphon ipad expect radisson best experi,1,2
main benefit hotel proxim airport given extrem heavi traffic morn otherwis hotel radisson standard room small clutter,1,2
felt like shabbi conveni airport,1,2
hotel kind enough decor room night wed room look great,2,2
extrem good breakfast lunch buffet help staff,2,0
room high standard although arriv room readi u staff help,2,2
work near airport best warm servic good food make comfort live music amaz bodhi spa name sink relax mode courteou staff,2,0
great place relax hour flight chennai,2,0
excel properti good staff place start driver manag hotel realli impress ambienc hospit hotel ideal locat near airport,2,0
great servic stay experi staff alway readi provid servic fulfil guest need nice bar buffet restaur ground floor great hotel busi stay holiday easi get around hotel also get transport get around citi,2,0
excel experi start pickup airport drop airport pre allot room precomput registr hand key inform car give excel feel nice spread menu breakfast dinner well made room servic,2,2
superb hotel hospit superb mark breakfast superb good airport pick drop excel noth wrong one touch servic excel weaker part room old fashion need renov realli wrong room modern room day excel worth money,2,2
good neat hotel friendli staff nearer airport wit drop pick facil bit found food bit costlier maintain good qualiti perfect place stay famili special club room bathtub child shall enjoy stay,2,0
good experi close airport room spaciou also full amen food also good overal experi awesom stay next time also recommend other,2,1
go room verynic servic excel antast food tast wow rent low high everyth good fine neat love chennai guy love raddison hotel good,2,2
locat hotel good appear hotel good face problem reach hotel activ arrang hotel,2,1
good experi guest got good environ fell happi enjoy meal drink like gym swim poll got time pa activ hotel feel tri relax,2,2
visit hotel offici purpos appear hotel good hotel locat centr citi check checkout done time room neat clean,2,1
good hotel stay chennai fflhlxoxoxitxtxttcolgtcoxgxtixkrxrxfllxdridxfizgxoxixxtoxothcgchochcypyfcycoycyycyycpufotdtodtodotxyycpycyxpgxgpxyoxtoxpyxttxylhxpxphxogxttxxoh gcocgxggcogctcoggxotxoyxyxyocicotxotxxotxpyxyoxyoxoyxttxtixttxxhxoyyxxdypxyocyycogcxoxoycyycoyh,2,0
staff courtesi excel reserv issu clarifi immedi suggest need cloth hang facil bathroom someon enumer facil avail breakfast confus mani item offer ask,2,2
staff helpful welcom airport pickup chauffeur servic great conveni,2,0
hotel room nice complimentari drink foot massag staff good would recommend hotel especi take flight close airport free transfer airport,2,0
hotel wonder food loung spa room realli appreci great choic locat unwind fli sever hour u fli next day massag spa staff great breakfast enjoy definit stay,2,0
stay hotel good given price howev mention book email breakfast includ three day stay hotel receptionist say includ ask check hotel com get repli hotel com vacat room paid breakfast hotel,2,2
noth much write one night stay terribl breakfast unclean plate cup etc first room gave smell cigarett smoke fortun chang room ac ok small tacki room,1,2
overal good room need regular clean hotel staff good,2,1
good hotel locat good,2,1
give review averag book mmt got deal per day go hotel book charg etc absolut worth room ok get rang,1,2
radisson hotel delhi,1,2
pro locat valu busi peopl wnt stay room fr long time con old build feel like build collaps time overal well recommend good budget travel,2,2
room maintain old room bed mattress need replac maintain subsequ visit guest stay requir space room also le,2,2
nice hotel locat main biz dist save local convey live bar room worth money paid complimentari breakfast allow hr check,2,2
everyth mark mean pleasant stay thing upset room servic bad respons apart everyth good prime locat,2,2
room small accommod third person servic bad took min put third bed min get blanket breakfast bad wifi disappoint paid food realli good room bathroom clean well maintain,2,2
servic decent food qualiti averag locat excel room also averag cockroach bathroom room close marina chepauk stadium connect chennai central area good worth good deal onlin,1,2
locat cleanli good far custom servic concern averag recommend travel stay reason rent sinc hotel situat mount road access citi area food okay good quick stay,1,1
ideal locat averag hotel cleanli averag small room good breakfast situat mount road access citi area behaviour front offic staff good recommend travel stay reason rent,2,1
locat cleanli good far custom servic concern worst even manag respond well worst behaviour staff expect kind behaviour would great makemytrip someth,1,2
nice stay hotel locat hotel near citi staff also oper manag hotel tottali good face problem hotel relat servic food anyth valu money come citi stay,2,1
locat wise hotel perfect mainten pathet room ok bathroom hygien food fine better option amount paid book makemytrip lowest fare believ thank makemytrip total prefer go,1,2
good hotel room alright food good servic nice locationnoth els,2,1
visit hotel alon offici trip hotel good locat hotel good hotel nearbi railway station appear hotel good check checkout done time hotel overal servic hotel good provid room dirti hotel activ arrang hotel suggest hotel,0,1
think good front desk team accommod courteou food great room dine prompt whole good experi,2,1
great hospit,2,0
enjoy lot excel hospit,2,0
like work mahindra world citi choic littl competit could probabl help thing staff nice hotel blah,1,0
great peopl come visit mahindra tech citi save travel back citi even,2,0
stay one night everyth great especi help staff breakfast visibl stain note bed sheet sure chang bed sheet night,2,2
great locat airport transport breakfast bounti room clean spaciou mini bar coffe maker hair dryer roof top pool resteraunt bar amaz daili happi hour ac wifi,2,2
great experi travel stay alon got comfort room near elev quick check checkout room comfort breakfast would definit stay,2,0
good hotel decent experi courteou staff,2,1
first stay india land chennai start week trek across southern india splurg glad made help u adjust bar good neighborhood walk around explor staff great highli recommend,2,0
stay raintre friend facil great staff rude unaccommod two word describ attitud toward u passiv aggress told star hotel hardli believ disappoint time servic facil great food overpr,0,0
great experi realli good hotel profession friendli staff will go extra mile ensur pleasant stay,2,0
care tax food order food price expect end pay usd glass wine supposedli hous wine heavi local tax wish inform receiv bill,2,2
overal good quick wifi,2,1
great hotel breakfast buffet outstand staff stay famili probabl ideal busi travel,2,0
raintre good hotel locat heart chennai room spaciou nice breakfast amaz least cuisin spread visist night rooftop loung recommend view busi care internet unstabl spotti recommend busi mind,2,0
good stay staff attent help particularli special need man year old howev room adequ furnish need least chair husband wife sit drink tea,2,2
work world hotel part life raintre st mari absolut wonder staff top manag resteraunt staff housekeep friendli accomad make feel home better servic definitley recomend place busi vacat locat great three resteraunt great food,2,0
excel servic clean good room help staff,2,1
love hotel staff attent alcohol serv hotel bother surpris colleagu like glass wine dinner possibl good locat howev close busi,2,2
taj qualiti unparallel attent detail make differ,2,2
wonder hotel absolut five star servic throughout properti everyon made feel welcom valu plu breakfast sumptuou indian restaur quit amaz,2,2
amaz went way accommod request,2,2
extrem courteou staffveri help attent make stay enjoy pleasur find fault experi stay love stay,2,0
servic mind staff attend resid requir profession courteou manner buffet breakfast excel varieti suit western indian tri vegetarian curri nan bread beyond indu restaur number occas must admit qualiti fresh superb,2,2
oasi comfort busi chaotic town pleasant rest place look forward return day foray busi citi,2,0
nice hotel heart town close everyth,2,2
room ok five star like experi room look old bulb fixtur bed frame look old,2,2
valet park ac control switch near driver seat broken henc self park car key guest recommendedvegan food specif menu vegan vegetarian item vegan henc would recommend breakfast vegan,1,2
excel food great club friendli staff room show wear tear clean,2,0
hotel staff friendli courteou room nice size clean restaur roof mediterranean cuisin fabul nice hotel stay busi chennai,2,0
best locat luxuri hotel staff excel,2,0
good stay small problem first room musti smell staff chang room quickli issu breakfast good experi mani choic relax atmospher roof restaur also nice dinner spanish quisin,2,2
noth good say resid hotel chennai notabl neg follow wifi tv stop work everi minut remot old number gone away hotel staff miscer dont know custom servic indiffer cold bad experi recommend anyon,0,2
staff good key fit time night room key given time get recept given room,1,2
ac good bed much good worth pay,0,1
awesom stay food slightli expens dont think deserv thing room size small compar luxuri hotel,2,2
stay comfort servic good satisfactori,2,1
overal experi good howev wi fi get disconnect often found food expens,2,2
overal stay good howev wi fi work call multipl time fix get fix time would stop work thing like hotel,2,2
great breakfast good room servic,2,1
good locat excel close everythingstaff friendli welcom help knowledg citi guid do dont whch import visit leisur tell go go,2,0
pacif clark inn,2,2
busi trip chennai best place stay resid hotel near market center chennai near chennai famou shop center nagar area night mani restaur near,2,0
excel stay one good hotel suggest medium cost within budget good servic respons food drink transport hotel much access time definit one best hotel stay confer room meet room good busi meet,2,1
stay hotel friend day overal experi good regard servic hotel staff well train behav friendli build hotel well decor room big size well maintain provid modern facil room servic alway time food also much hygen tasti would like visit,2,1
clean hotel stay hotel year ago still maintain good standard,2,1
hotel central locat heart chennai easili access place chennai walk distanc best place around nagar best part high speed internet complementari food festiv go howev vegetarian abl enjoy food much,2,0
hotel good good ambianc room spaciou servic good locat good nearer citi restaur excel buffet good huge spread servic good room good,2,1
one good resid facil food good tasti room big televis provid good channel entertain bed comfort mattress good near bu stop taxi avail stay day enjoy lot,2,1
ambianc hotel good awesom hotel also awesom servic provid hotel staff courteou room inde nice spaciou room outer design well inner design good entranc gate front offic like good behavior hotel staff world class facil luxuri hotel,2,1
modern hotel great locat great room luxuri servic think facil avail great singl person group also famili hotel food drink tasti pure product use great stay hotel thank much hotel resid great facil u,2,0
excel hotel well maintain hotel beauti locat hotel iam happi stay hotel support team help team second attend hous keep team happi stay hotel,2,0
stay hotel day found home hotel ever experienc staff courteou room clean well kept need make special mention restaur care taken food beverag staff buffet breakfast lunch dinner delight term qualiti varieti realli love hotel sure make visit,2,0
hotel central locat ideal busi meet room well made conveni staff excel well manner know attend guest locat good mid citi rail transit readi make life much easier hotel list next trip,2,0
great busi hotel realli place take famili ban sell alcohol may impact want beer g end long day need plan ahead,2,0
great hotel sometim felt big,2,0
night arriv ny minor problem room mr neeraj extrem help sort issu immedi along engin staff prompt servic extrem courteou manner cannot go unnot thank neeraj god bless,2,2
stay one night recent would guarante far best hotel hospit servic room staff also food noth le excel would also singl prais staff name nidhi priyanka maya harish awesom made feel home would person rate,2,0
realli nice room servic shower drain problem fix promptli servic team inform,2,2
attent detail fantast,2,2
luxuri stay,2,0
excel hotel courteou staff awesom facil highli recommend would definit stay,2,0
moment walk hotel lobbi feel like king one biggest hotel world magist featur across hotel perfect place famili kid busi travel,2,2
arriv chennai monday morn hotel car driver wait room enjoy short nap week start stay team grand chola friendli help kind wonder restaur great pool good exercis facil site regret stay wonder hotel,2,0
royal stay experi slightli overpr certainli get pay recept staff nice big lobbi varieti restaur like madra cafe peshawar italan food high secur room marvel control ipad chang channel light c door manag door camera order food ipad room good food excel nice varieti spirit amaz experi,2,0
quiet nice nestl structur spite huge properti effici manag nice quiet room open bathroom separ enclosur shower commod food averag,2,2
excel view great servic great food swim pool excel view room staff friendli help good secur kind italian pan asian south indian food room ac tv light oper ipod,2,0
valu money staff friendli help breakfast serv realli excel staff front desk help room clean well maintain excel lobbi wonder stay hotel locat excel,2,0
activ avail hotel,2,2
itc grand chola awesom hotel great facil friendli help staff,2,0
book room itc grand chola chennai recept get room card butler servic start u like person assist everi manner everi second total privatis hotel coupl love stay seven star properti love staff,2,2
heard lot chola found expect highli price room price food full fals pride staff think need two hundr word describ chola whatev written enough understand hotel manag,2,2
everyth nice noth complain breakfast good spread choic line itc properti room dine mani choic neg would say,2,2
itc grand chola luxuri collect hotel wonder stay great chennai excel locat facil great hospit ambianc good place stay beauti room free wifi excel breakfast last least good swim pool,2,0
visit hotel offici trip room servic good behaviour staff good locat hotel good activ arrang hotel,2,1
locat hotel good room servic neat clean overal servic hotel good food nice hotel visit hotel famili offici work everyth provid room satisfi hotel stay suggest hotel hotel nearbi airport,2,1
locat hotel good interior exterior appear hotel good book front offic staff friendli help room nice neat clean activ provid hotel food serv good qualiti quantiti tast food good reason price pickup drop facil provid hotel,2,1
take food hotel visit hotel offici purpos colleagu hotel good delay check checkout process hotel,1,1
excel hotel plan close airport conduct busi massiv two section defo come back go back india,2,2
enjoy,2,0
quickli effici brief overnight stay head airport minut ride away hotel driver airport poor fast poor lane disciplin close vehicl front,2,2
great hotel excel attent staff clean quiet,2,0
